,id,brand,categories,dateUpdated,name,sizes,sourceURLs,prices.amountMin,prices.condition,prices.currency,prices.dateSeen,prices.merchant
0,AVpe--Dm1cnluZ0-bUfn,My1stWish,[Shoes],2015-09-10T17:10:32Z,My1stwish Ankle Buckle Strap Mid Heel Shoes Women's,,www.amazon.co.uk,24.99,new,EUR,2015-09-07T00:00:00Z,Amazon.co.uk
1,AVpe--EBLJeJML43zy8r,Clarks,[Shoes],2015-09-10T17:34:45Z,Clarks Rufion Still Pumps Womens,,www.amazon.co.uk,23.99,new,EUR,2015-09-05T00:00:00Z,Crystalz
2,AVpe--LsLJeJML43zy_j,Propet,[Shoes],2015-10-31T09:16:32Z,Morgan,"[10, 8.5, 7, 6, 9.5, 6.5, 7.5, 9, 8]",www.6pm.com,25.99,New,USD,2015-10-28T00:00:00Z,6pm.com
3,AVpe--ORLJeJML43zzAo,Keen Kids,"[Shoes, Boots]",2016-05-08T02:30:01Z,Rover Crib (infant),,www.6pm.com,30.99,New,USD,2016-04-09T00:00:00Z,6pm.com
4,AVpe--cwLJeJML43zzFy,Born,[shoes],2015-06-01T18:02:07Z,Born Ellen Dress Sandals,,www.dillards.com,109.0,,USD,2015-05-31T18:16:46.074Z,Dillards.com
5,AVpe--pPLJeJML43zzKY,Nike,"[Running Shoes, Girls' Shoes, Running Gear, Girls' Running Shoes]",2016-01-27T10:48:34Z,Nike Girls' Flex Run 2015 Running Shoes - Preschool,,www.sportsauthority.com,58.0,,USD,2016-01-27T00:00:00Z,
6,AVpe--tgilAPnD_xSXhu,adidas,"[Academy, Boys' Football Cleats, Boys' Cleats, Boys' Shoes]",2016-10-15T23:27:12Z,Adidas Boys' Freak Md Wide Football Cleats,,www.academy.com,29.99,,USD,2016-10-09T00:00:00Z,
7,AVpe--tvilAPnD_xSXh2,Kate Spade New York,"[Heels, Shoes]",2016-07-29T22:30:04Z,Cristie,"[10.5, 10, 8.5, 5.5, 7, 9.5, 6.5, 7.5, 9, 8, 11]",www.6pm.com,131.2,New,USD,2016-04-02T00:00:00Z,6pm.com
8,AVpe-03cLJeJML43zvoM,adidas,"[Academy, Boys' Shoes, Boys' Sneakers]",2016-07-21T11:24:10Z,Adidas Kids' Neo Advantage Vs Shoes,,www.academy.com,39.99,,USD,2016-07-19T18:10:43Z,
9,AVpe-06SLJeJML43zvo_,Naturalizer,"[Heels, Shoes]",2015-10-31T10:07:29Z,Demand,"[8.5, 10, 9.5, 7.5, 9, 8]",www.6pm.com,57.99,New,USD,2015-10-28T00:00:00Z,6pm.com
10,AVpe-0AXilAPnD_xSTqz,Franco Sarto,"[Loafers, Shoes]",2015-10-30T16:49:36Z,Joella,"[7, 6, 6.5, 7.5, 8]",www.6pm.com,44.99,New,USD,2015-10-28T00:00:00Z,6pm.com
11,AVpe-0Az1cnluZ0-bQ3Y,Clarks,[shoes],2015-05-19T14:02:55Z,Clarks Lucette Holly Casual Boots,,www.bergners.com,67.19,,USD,2015-05-12T22:54:19.562Z,
12,AVpe-0C61cnluZ0-bQ4S,Generic,[Shoes],2015-09-10T16:35:50Z,Mens Koala Bay Mule Flip Flop,,www.amazon.co.uk,6.99,new,EUR,2015-09-08T00:00:00Z,Amazon.co.uk
13,AVpe-0F4LJeJML43zvWi,Ralph Lauren,"[Women, Shoes]",2016-02-25T20:14:38Z,Janis Slip-on Sneaker,,www.ralphlauren.com,49.0,New,USD,2016-02-21T00:00:00Z,www.ralphlauren.com
14,AVpe-0GHLJeJML43zvWq,Shoot,[Shoes],2015-09-10T17:23:51Z,Shoot Women's Sh13678 Schlupfstiefel,,www.amazon.co.uk,88.35,new,EUR,2015-09-05T00:00:00Z,Amazon.co.uk
15,AVpe-0I01cnluZ0-bQ6X,Steve Madden Kids,"[Shoes, Boots]",2015-11-11T00:19:06Z,J-graced (toddler/little Kid/big Kid),,www.6pm.com,29.99,New,USD,2015-10-28T00:00:00Z,6pm.com
16,AVpe-0IQLJeJML43zvXa,Tommy Bahama,[shoes],2015-05-21T12:33:13Z,Tommy Bahama Relaxology Cartahena Sneakers,,www.dillards.com,94.99,,USD,2015-05-19T18:53:27.389Z,Dillards.com
17,AVpe-0PSLJeJML43zvZ4,Bed Stu,"[Oxfords, Shoes]",2015-10-19T18:59:48Z,Edison,[11.5],www.6pm.com,108.26,New,USD,2015-10-14T00:00:00Z,6pm.com
18,AVpe-0SEilAPnD_xSTxD,Ivanka Trump,"[Heels, Shoes]",2016-05-24T08:49:12Z,Mani,"[10, 8.5, 9.5]",www.6pm.com,70.99,New,USD,2016-04-02T00:00:00Z,6pm.com
