,index,brand,categories,id,name,price,currency,dateSeen,sizes,gender
0,10,franco sarto,"[Loafers, Shoes]",AVpe-0AXilAPnD_xSTqz,Joella,44.99,USD,2015-10-28T00:00:00Z,"[7, 6, 6.5, 7.5, 8]",IDK
1,10000,khombu,"[Shoes, Boots]",AVpfHbI51cnluZ0-ePxP,Nora,59.99,USD,2016-05-05T00:00:00Z,"[10, 7, 6, 9, 8, 11]",IDK
2,100000,lifestride,"[Sci-Fi, Shoes, Drama, Adventure, Boots, Action, Crime, Mystery]",AVpe43KL1cnluZ0-ZFhS,Xylans,49.99,USD,2015-10-22T00:00:00Z,"[5.5, 8.5, 9.5, 11, 10, 7, 6, 5, 6.5, 7.5, 9, 8]",IDK
3,100004,nina,[Girls' Shoes],AVpe43qZ1cnluZ0-ZFuh,Pippa Sandal Pre/grade School,29.95,USD,2015-07-18T05:00:00Z,"[3M, 2M, 1M, 11M, 13M, 4M, 5M, 12M]",W
4,100005,stuart weitzman,"[Shoes, Boots]",AVpe43sqilAPnD_xQIz9,Manlow,217.99,USD,2015-10-28T00:00:00Z,"[10, 9.5]",IDK
5,100006,fizik,"[Athletic, Cycling, Men, Shoes, Sports]",AVpe43x3ilAPnD_xQI1w,Fizik Men's R1 Uomo Road Cycling Shoes,254.37,USD,2016-03-20T00:00:00Z,"[43.5, 44.5, 41.5, 43, 42, 42.5, 45, 44, 46, 40.5, 45.5, 41, 47, 48, 46.5]",M
6,100012,maison margiela,"[Women, Shoes, Flats, Lace-Ups]",AVpe45h-ilAPnD_xQJhW,Mixed-leather Derbys,1395.0,USD,2016-06-05T21:26:10Z,"[6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10, 10.5, 11]",W
7,100013,tommy hilfiger kids,"[Shoes, Boots]",AVpe45iY1cnluZ0-ZGc_,Andrea Rider (toddler/little Kid/big Kid),29.99,USD,2016-05-06T00:00:00Z,,IDK
8,100017,kenneth cole unlisted,"[Shoes, Boots]",AVpe46Xr1cnluZ0-ZGvq,File Type,17.99,USD,2016-03-21T00:00:00Z,"[8.5, 10, 7, 6, 9.5, 6.5, 7.5, 9, 8]",IDK
9,100019,nine west,"[Shoes, Boots]",AVpe46kzLJeJML43xlVp,Charnel,76.12,USD,2016-01-11T00:00:00Z,"[10.5, 10, 9.5, 7.5, 8, 11]",IDK
10,10002,dr. martens,"[Shoes, Boots]",AVpfHbXi1cnluZ0-eP03,Tower,47.5,USD,2016-05-05T00:00:00Z,,IDK
11,100023,see kai run kids,"[Shoes, Flats]",AVpe48GWilAPnD_xQKef,Marnie (toddler/little Kid),32.99,USD,2015-10-28T00:00:00Z,,IDK
12,100025,alexander mcqueen,"[Heels, Shoes]",AVpe48PqilAPnD_xQKiW,Layered Zip Sexy Sandal,298.75,USD,2016-03-24T00:00:00Z,,IDK
13,100026,antonio melani,[shoes],AVpe48QH1cnluZ0-ZHeA,Antonio Melani Mellana Dress Sandals,66.0,USD,2015-05-31T18:16:01.831Z,,IDK
14,100028,ugg collection,"[Shoes, Boots]",AVpe48ROLJeJML43xmB3,Karisa Stingray,148.75,USD,2015-10-19T00:00:00Z,"[10, 7, 6, 9, 8]",IDK
15,100029,gentle souls,"[Heels, Shoes]",AVpe48ZZLJeJML43xmEO,Rem Gem,79.99,USD,2015-10-28T00:00:00Z,"[8.5, 10, 7, 6, 9.5, 6.5, 7.5]",IDK
16,10003,shoekeeper,[Shoes],AVpfHbY0ilAPnD_xVSDn,Shoekeeper Wooden Shoe Stretcher and Stretch Spray Combo - Natural,29.95,USD,2015-11-07T00:00:00Z,,IDK
