None,W,M
None,sum,sum
brand,,
a2 by aerosoles,210,0
academie gear,29,39
acorn,115,73
adidas,495,1337
adtec,25,70
aerosoles,554,0
alegria,80,10
alexander wang,82,3
altra footwear,36,49
anne klein,114,0
apex,24,29
aquazzura,158,0
ara,144,1
ariat,56,38
asics,468,470
azura,82,0
badgley mischka,56,0
balenciaga,102,79
bamboo,83,0
bandolino,110,0
barneys new york,194,97
bcbgeneration,100,0
beacon shoes,58,0
bearpaw,196,10
bed stu,36,18
bella vita,72,0
bellini,66,0
beston,126,2
betani,56,0
betseyville,56,0
birkenstock,147,20
blackstone,14,42
bloch,141,1
bogs,118,44
bongo,116,0
born,103,66
boston traveler,0,63
brooks,60,92
burberry,76,24
c label,75,0
c9 champion,77,46
calvin klein,171,53
cape robbin,71,0
capezio,70,0
carlos by carlos santana,91,0
carolina,6,76
cat jack153,262,126
caterpillar,20,67
celeste,56,0
champion,62,62
charles by charles david,109,0
cherokee,206,45
chinese laundry,51,0
chlo��,127,0
christian louboutin,373,52
clarks,541,477
cliffs by white mountain,72,0
coach,130,1
cobb hill,62,0
cole haan,205,211
columbia,69,127
converse,363,357
corso como,53,0
crevo,0,92
crocs,149,120
danner,6,70
dansko,300,50
david tate,110,0
dc shoes,36,109
dearfoams,131,45
deer stags,10,200
demonia,118,62
diadora,15,63
diane von furstenberg,109,0
diba true,58,0
dickies,3,85
displayads',75,7
dockers,0,111
dolce & gabbana,77,20
dolce vita,84,0
donald j-pliner,56,1
dr martens,45,34
dr. martens,86,73
drew,73,12
dromedaris,62,0
durango,94,71
durango boot,29,62
dyeables,144,0
earth,58,0
eastland,94,58
easy spirit,196,0
easy street,117,0
ecco,213,238
eileen fisher,55,0
ellie,68,3
fabulicious,78,0
fahrenheit,98,0
fendi,92,12
fergalicious,71,1
ferro aldo,2,64
fila,178,329
fitflop,66,10
flexus by spring step,74,0
florsheim,1,488
footjoy,34,74
franco sarto,197,0
frye,271,54
funtasma,41,9
gabor,62,0
gbx,0,85
georgia boot,3,97
geox,85,80
gianni bini,71,0
gianvito rossi,392,16
giorgio brutini,0,142
giuseppe zanotti,253,77
givenchy,127,38
gola,0,52
gold toe,12,45
golden goose,55,9
gotta flurt,52,0
grasshoppers,97,0
gravity defyer,56,41
gucci,154,33
guess,73,8
hadari,222,0
haflinger,37,38
hanes,100,57
havaianas,54,15
helle comfort,55,0
hi-tec,31,42
hunter,64,3
hush puppies,78,47
infinity,203,0
isabel marant ��toile,61,0
itasca,29,33
ivanka trump,82,2
j. renee,123,0
jack rogers,63,0
jambu,62,22
jeffrey campbell,75,0
jessica simpson,209,0
jimmy choo,143,3
jordan,65,621
josef seibel,53,23
joules,97,2
journee collection,711,8
jumping jacks,76,15
justin boots,42,162
k-swiss,82,122
kamik,92,40
kate spade new york,73,0
keds,169,9
keen,154,111
kenneth cole new york,106,21
kenneth cole reaction,164,78
kenneth cole-reaction,58,30
kensie girl,69,0
l'amour,74,1
l'artiste by spring step,110,0
lacoste,19,149
lacrosse,1,77
lamo,108,12
lanvin,88,57
laura ashley,49,3
lauren ralph lauren,60,0
lauren ralph-lauren,67,0
leisureland,37,15
levi's,3,60
lifestride,109,0
liliana,62,0
lucky brand,171,0
lugz,64,168
luichiny,71,0
mad love,125,0
madeline,95,0
maison margiela,75,41
manolo blahnik,426,0
mark and maddux,96,0
mark nason skechers,0,61
marni,51,0
mars��ll,131,6
marvel,0,54
matisse,96,0
memoi,178,5
menbur,70,0
mephisto,40,22
merona,92,56
merona153,106,15
merrell,192,165
mezlan,0,128
mia,99,0
michael michael kors,350,0
minnetonka,121,18
miu miu,129,0
mizuno,45,85
mossimo supply co,315,41
mossimo supply co.,147,33
muk luks,930,236
munro,80,0
naot,46,38
naturalizer,312,1
nature breeze,142,0
new balance,408,539
nicholas kirkwood,57,0
nike,2439,4776
nina,447,0
nine west,304,0
nunn bush,0,167
om,89,0
onitsuka tiger,25,41
otbt,175,0
palladium,31,30
pearl izumi,71,69
pikolinos,44,12
pin up,60,0
pink paradox london,106,0
pleaser,331,9
polo ralph lauren,28,174
polo ralph-lauren,3,99
prada,322,137
primigi,127,57
propet,171,78
puma,208,377
qupid,122,0
rachel shoes,108,1
rag & bone,70,9
ralph lauren,313,233
reebok,140,244
reef,124,88
refresh,89,0
rialto,91,0
rider,53,86
rieker,70,0
rieker-antistress,56,5
robert clergerie,91,0
rocket dog,85,0
rockport,52,142
rocky,5,129
ros hommerson,114,0
rose petals by walking cradles,73,0
ryka,79,0
s sport by skechers,88,34
saint laurent,217,66
salvatore ferragamo,50,86
sam edelman,149,0
sam libby,112,0
sanita clogs,71,10
sanuk,118,98
saucony,111,158
sebago,26,86
see kai run,146,78
seychelles,52,0
shoes of prey,65,0
skechers,1743,1068
soda,77,0
sofft,110,0
soft style,85,0
softspots,88,0
softwalk,152,0
sole society,71,0
sorel,78,45
spenco,53,16
sperry,247,259
sperry top sider,57,39
spring step,302,57
stella mccartney,53,0
steve madden,353,68
stevies,67,0
stride rite,249,169
stuart weitzman,141,3
superga,68,3
supra,1,72
surprize by stride rite,34,26
tempur-pedic,37,29
teva,83,72
the north face,49,39
timberland,119,250
tod's,60,212
tommy hilfiger,57,107
toms,375,112
topshop,149,0
tory burch,143,3
touch ups,197,4
trotters,181,0
twisted x,16,75
ugg,197,159
ugg australia,691,149
umi,80,26
under armour,210,544
unionbay,24,33
usa dawgs,111,40
valentino,256,28
vaneli,143,0
vans,275,565
vecceli italy,49,3
versace,2,48
via pinky,55,0
via spiga,81,0
vince,74,8
vince camuto,198,1
vionic with-orthaheel-technology,46,14
volatile,52,1
walking cradles,140,0
western chief,130,84
white mountain,127,0
wild diva,98,0
wolverine,16,81
xray,0,60
