None,price,price,price
None,count,mean,median
brand,,,
a2 by aerosoles,229,49.0529694323,49.99
academie gear,69,56.2643478261,55.95
acorn,266,49.3696992481,44.47
adidas,2230,75.8632286996,69.95
adtec,95,77.2987368421,75.49
aerosoles,859,50.0677997672,49.98
alegria,218,95.6469724771,99.0
alexander wang,112,512.594375,495.0
altra footwear,132,104.156287879,104.95
anne klein,523,47.1941491396,40.84
apex,85,136.398588235,139.95
aquazzura,235,618.580851064,675.0
ara,210,128.631238095,138.95
ariat,325,120.732553846,116.62
asics,1642,76.0154628502,69.98
azura,86,87.8088372093,89.0
badgley mischka,208,139.412163462,129.99
balenciaga,211,663.393317536,635.0
bamboo,83,31.916626506,29.59
bandolino,349,42.1780229226,38.22
barneys new york,293,276.887372014,275.0
bcbgeneration,264,64.9268560606,59.99
beacon shoes,58,41.0853448276,43.16
bearpaw,255,54.6838823529,46.98
bed stu,156,151.597564103,144.53
bella vita,118,75.8819491525,75.9
bellini,69,48.0197101449,49.56
beston,129,30.6668992248,29.59
betani,56,26.9953571429,25.99
betseyville,57,34.0110526316,34.99
birkenstock,256,94.25671875,82.24
blackstone,56,191.535714286,188.95
bloch,161,40.1540993789,36.0
bogs,321,70.2798442368,64.99
bongo,116,23.2598275862,20.99
born,727,77.8522145805,72.99
boston traveler,63,38.6598412698,39.99
brooks,274,89.8876277372,87.49
burberry,161,327.010124224,217.75
c label,287,28.4256445993,27.99
c9 champion,134,22.3326119403,21.99
calvin klein,957,74.6558516196,67.99
cape robbin,71,32.59,33.59
capezio,79,27.2321518987,20.98
carlos by carlos santana,242,54.4461570248,50.99
carolina,84,165.832142857,157.45
cat jack153,395,18.4131392405,17.99
caterpillar,150,80.6030666667,75.49
celeste,56,32.915,30.805
champion,127,22.7084251969,19.99
charles by charles david,204,67.2932352941,59.975
cherokee,317,18.6422082019,19.58
chinese laundry,301,49.4024252492,44.99
chlo��,127,642.551181102,495.0
christian louboutin,527,990.28914611,895.0
clarks,1934,81.0106670114,74.97
cliffs by white mountain,77,38.5501298701,37.95
coach,652,113.817162577,97.995
cobb hill,200,67.29675,59.995
cole haan,1166,118.044168096,107.55
columbia,359,58.3564066852,55.0
converse,1381,45.3826864591,40.0
corso como,141,90.9763120567,82.99
crevo,92,62.5657608696,67.96
crocs,760,32.4703947368,29.99
danner,91,170.782747253,168.53
dansko,605,109.502545455,115.95
david tate,189,85.2558201058,83.96
dc shoes,261,41.7113793103,38.99
dearfoams,176,28.8376136364,28.76
deer stags,306,40.6519607843,39.47
demonia,180,84.36,79.95
diadora,89,73.2608988764,59.56
diane von furstenberg,208,161.581971154,146.99
diba true,58,102.158965517,111.16
dickies,91,71.3126373626,69.99
displayads',161,22.5647204969,24.9
dockers,165,62.304969697,64.99
dolce & gabbana,198,460.256212121,394.495
dolce vita,341,87.6153079179,78.0
donald j-pliner,114,177.757368421,178.0
dr martens,99,101.24020202,100.0
dr. martens,524,79.098759542,74.99
drew,199,136.636934673,148.99
dromedaris,62,173.191935484,189.95
durango,202,123.443910891,133.99
durango boot,92,126.9975,139.99
dyeables,178,44.6637078652,47.99
earth,205,74.7928292683,69.95
eastland,287,73.2738675958,69.95
easy spirit,387,43.0581395349,39.99
easy street,256,36.7750390625,33.67
ecco,1014,119.055374753,111.445
eileen fisher,96,167.709166667,164.75
ellie,72,50.5341666667,51.27
fabulicious,78,46.0567948718,41.56
fahrenheit,98,34.8940816327,33.315
fendi,179,762.72972067,700.0
fergalicious,181,37.8762983425,36.58
ferro aldo,66,47.4257575758,38.99
fila,692,39.1177890173,35.13
fitflop,210,86.2404761905,71.99
flexus by spring step,76,78.5813157895,69.475
florsheim,580,94.1540172414,94.58
footjoy,120,94.6155,89.99
franco sarto,484,66.2675826446,59.75
frye,1466,205.021664393,184.495
funtasma,50,41.9678,39.41
gabor,141,125.990070922,124.99
gbx,181,52.3935911602,49.99
georgia boot,100,136.5468,139.99
geox,457,97.0792341357,84.99
gianni bini,171,68.5960818713,69.99
gianvito rossi,463,863.749460043,775.0
giorgio brutini,221,61.7346153846,59.95
giuseppe zanotti,559,653.312826476,569.0
givenchy,259,904.993397683,775.0
gola,78,66.8187179487,66.475
gold toe,58,15.9356896552,12.73
golden goose,64,468.9375,499.0
gotta flurt,54,38.4946296296,35.99
grasshoppers,109,36.5747706422,38.36
gravity defyer,105,118.215047619,123.99
gucci,290,592.924758621,545.0
guess,500,59.99768,49.99
hadari,222,37.9198648649,37.59
haflinger,115,90.764,80.99
hanes,225,15.1426222222,14.81
havaianas,160,22.0195625,20.5
helle comfort,86,141.3,167.45
hi-tec,144,61.5697222222,60.95
hunter,144,117.555902778,104.99
hush puppies,349,54.812722063,50.99
infinity,204,24.6365686275,23.99
isabel marant ��toile,62,491.225806452,547.0
itasca,74,50.7817567568,44.31
ivanka trump,282,78.5879432624,71.6
j. renee,326,56.7139263804,49.95
jack rogers,144,116.583125,118.0
jambu,192,67.3221875,59.965
jeffrey campbell,77,185.841298701,174.95
jessica simpson,578,61.7473356401,54.99
jimmy choo,255,740.096784314,675.0
jordan,1001,106.8499001,90.0
josef seibel,167,110.930838323,117.0
joules,103,58.3686407767,60.0
journee collection,724,44.0690883978,40.0
jumping jacks,94,38.0344680851,40.95
justin boots,218,150.378073394,144.95
k-swiss,357,51.4671148459,47.96
kamik,226,49.4912389381,43.195
kate spade new york,338,171.838343195,163.41
keds,469,35.3838379531,34.98
keen,607,65.5538714992,57.99
kenneth cole new york,456,93.4278947368,84.31
kenneth cole reaction,638,52.7448902821,47.99
kenneth cole-reaction,135,60.6062962963,59.99
kensie girl,71,38.2271830986,38.99
l'amour,75,44.9233333333,43.99
l'artiste by spring step,110,109.786454545,109.95
lacoste,686,69.1220553936,64.99
lacrosse,78,159.462692308,154.485
lamo,130,37.2247692308,31.955
lanvin,238,631.315630252,590.0
laura ashley,71,30.9612676056,29.99
lauren ralph lauren,180,63.5589444444,59.0
lauren ralph-lauren,108,71.4198148148,69.0
leisureland,52,19.6573076923,19.99
levi's,64,49.15421875,39.9
lifestride,391,37.5471355499,32.99
liliana,62,33.3753225806,31.99
lucky brand,443,61.2886907449,50.79
lugz,303,52.3959735974,50.99
luichiny,125,45.08192,43.0
mad love,130,20.4205384615,19.99
madeline,95,43.9163157895,43.95
maison margiela,120,733.937916667,707.0
manolo blahnik,575,657.445147826,645.0
mark and maddux,96,36.7067708333,36.49
mark nason skechers,61,70.8518032787,71.96
marni,77,638.675194805,610.0
mars��ll,137,597.204379562,589.0
marvel,58,21.7805172414,22.99
matisse,207,83.6769565217,70.99
memoi,189,20.6398412698,19.99
menbur,76,155.084210526,147.95
mephisto,268,214.037723881,200.0
merona,148,26.5679054054,25.235
merona153,123,28.5721138211,27.99
merrell,768,74.9427994792,69.99
mezlan,183,302.564262295,259.1
mia,349,41.3340401146,34.99
michael michael kors,794,87.1619017632,79.99
minnetonka,267,45.7397752809,39.99
miu miu,140,582.2925,550.0
mizuno,249,73.7699598394,71.36
mossimo supply co,356,23.324241573,22.99
mossimo supply co.,189,24.7567195767,24.99
muk luks,1335,37.9582846442,30.99
munro,80,166.597375,179.95
naot,100,158.6899,159.45
naturalizer,870,62.1309425287,55.99
