brand,count,mean,std,min,25%,50%,75%,max
academie gear,39.0,57.2782051282,10.1224975782,36.76,52.45,58.95,62.45,83.95
acorn,73.0,51.6446575342,25.1348874454,9.99,31.95,47.95,54.95,119.95
adidas,1337.0,81.3180179506,37.4611226382,7.98,54.95,74.95,102.9,262.99
adtec,70.0,79.6257142857,19.9165043039,39.56,68.06,79.72,89.99,158.99
alegria,10.0,102.11,21.5178582164,78.9,91.4,98.9,98.9,139.95
alexander wang,3.0,302.333333333,23.0940107676,289.0,289.0,289.0,309.0,329.0
altra footwear,49.0,120.817346939,32.7920810293,59.95,95.95,119.95,139.95,219.95
apex,29.0,136.004482759,23.8935190834,49.99,139.95,139.95,139.95,159.95
ara,1.0,198.95,,198.95,198.95,198.95,198.95,198.95
ariat,38.0,139.260263158,92.0619368036,42.98,71.9725,111.495,166.98,350.74
asics,470.0,76.8635744681,32.557173401,9.99,49.99,69.925,99.95,199.99
balenciaga,79.0,576.164556962,196.671692486,219.0,399.0,595.0,660.0,1395.0
barneys new york,97.0,303.412371134,127.702678171,30.0,195.0,315.0,395.0,495.0
bearpaw,10.0,48.561,10.2511294229,20.98,49.95,49.95,49.98,59.99
bed stu,18.0,154.443888889,51.4029831063,79.0,121.25,145.0,182.5,235.0
beston,2.0,24.99,1.41421356237,23.99,24.49,24.99,25.49,25.99
birkenstock,20.0,110.492,35.9200024323,18.0,81.98,130.0,135.0,150.0
blackstone,42.0,191.326190476,51.695094118,32.38,179.9625,191.955,206.9875,324.95
bloch,1.0,47.96,,47.96,47.96,47.96,47.96,47.96
bogs,44.0,70.1425,31.7822621383,24.99,48.7075,67.735,80.0,165.0
born,66.0,108.021212121,19.9292166286,43.97,99.2475,109.95,115.0,160.0
boston traveler,63.0,38.6598412698,11.1912643772,17.99,30.99,39.99,48.99,55.99
brooks,92.0,108.255978261,29.7844079004,49.0,89.1725,103.99,124.9,169.95
burberry,24.0,134.17625,27.3332452157,79.95,119.275,134.805,152.3625,185.0
c9 champion,46.0,24.9663043478,8.50187570381,6.48,17.105,24.99,33.74,34.99
calvin klein,53.0,108.801132075,42.9940891134,9.99,81.99,110.0,140.0,198.0
carolina,76.0,171.348289474,48.2312388779,77.95,139.99,164.95,184.95,317.95
cat jack153,126.0,17.5251587302,6.02021989421,3.99,14.99,17.49,19.99,34.99
caterpillar,67.0,70.7970149254,26.6195655438,33.98,52.48,63.98,88.44,154.9
champion,62.0,21.7232258065,13.426079683,9.99,12.99,17.735,24.99,75.0
cherokee,45.0,17.5582222222,7.04886299306,4.98,13.99,19.99,21.99,29.99
christian louboutin,52.0,1300.28826923,496.669813366,595.0,990.0,1172.5,1395.0,3295.0
clarks,477.0,105.874716981,34.4786367265,21.99,79.95,104.95,129.95,239.95
coach,1.0,295.0,,295.0,295.0,295.0,295.0,295.0
cole haan,211.0,132.02014218,55.3755659842,37.5,88.95,129.9,169.9,328.0
columbia,127.0,62.9352755906,25.1591909687,20.68,41.44,64.97,79.99,140.0
converse,357.0,49.9798879552,21.219844234,12.99,34.9,44.99,64.9,150.0
crevo,92.0,62.5657608696,18.812673203,17.98,44.98,67.96,75.96,99.95
crocs,120.0,37.136,16.175101179,6.99,25.735,34.965,44.99,84.99
danner,70.0,175.622285714,87.0475161625,14.0,139.95,169.24,207.45,389.95
dansko,50.0,142.5556,30.4051870011,22.98,129.9625,144.975,149.95,194.95
dc shoes,109.0,37.2235779817,16.7109370663,13.48,25.98,32.98,49.95,102.98
dearfoams,45.0,33.1088888889,4.53592739952,20.36,30.36,33.56,35.95,37.95
deer stags,200.0,42.6189,16.0830558107,15.98,31.96,39.99,49.99,80.0
demonia,62.0,97.7937096774,36.5692705466,54.95,68.95,86.85,107.46,199.95
diadora,63.0,80.289047619,49.6950214198,23.3,48.36,59.56,97.88,225.0
dickies,85.0,71.9942352941,21.1720151872,23.49,56.99,69.99,89.99,119.95
displayads',7.0,15.6842857143,8.17576063157,7.19,7.9,14.9,23.5,24.9
dockers,111.0,65.2694594595,14.4103152346,27.01,59.99,64.99,74.99,109.95
dolce & gabbana,20.0,331.9135,108.558292189,225.99,253.7325,284.99,381.99,685.99
donald j-pliner,1.0,245.0,,245.0,245.0,245.0,245.0,245.0
dr martens,34.0,100.439411765,25.8605442935,54.99,80.0,99.995,120.0,150.0
