,brand,categories,currency,dateSeen,gender,id,name,price,sizes
35431,nike,[shoes],USD,2015-04-21T00:44:16.169Z,M,AVpgowt21cnluZ0-4TCL,Nike Air Yeezy 2 Nrg Style# 508214 Mens,8000,
253488,nike,[shoes],USD,2014-10-17T19:05:05.330Z,IDK,AVphnjDp1cnluZ0-Efm7,Nike Lebron Nba 2k14 Style 650884 674 Size 13 Challenge Red/metallic Gold-ic (1 of 2014 Pairs!),2000,
243698,nike,[shoes],USD,2015-10-12T00:00:00Z,M,AVpgwNaiLJeJML43SXl4,"Nike Mens Air Foamposite One Prm Db ""doernbacher"" Challenge Red/black Synthetic Basketball Shoes Size 10.5",1295,
209732,nike,[shoes],USD,2015-04-21T08:13:06.686Z,IDK,AVpirjnU1cnluZ0-PpYj,Air Jordan 1 Retro High Db 345204 041 Black-vivid Blue-wht-varsity Maize,1250,
155313,nike,[shoes],USD,2015-04-21T13:39:27.985Z,M,AVpilDF11cnluZ0-OnNs,Nike Mens Air Jordan 6 Aj6 Infrared Pack Synthetic Basketball Shoes,850,
200532,nike,"[Athletic, Team Sports, Men, Basketball, Shoes]",USD,2016-03-19T00:00:00Z,M,AVphL9-QilAPnD_x2Xe8,Men Air Foamposite One As Qs,785,
20633,nike,[shoes],USD,2015-04-19T22:26:45.272Z,IDK,AVphC-NZ1cnluZ0-9nts,Air Jordan Golden Moment Pack (multi Color/multi Color),770,
243333,nike,[shoes],USD,2015-10-12T00:00:00Z,M,AVpgpHMZilAPnD_xvV4l,"Nike Mens Kobe Ix Elite ""masterpiece"" Woven Basketball Shoes",735,
277043,nike,[shoes],USD,2015-04-20T01:34:56.949Z,M,AVph64I7LJeJML43gTfj,Air Jordan Future Premium Mens Size 12 652141 023,600,
43915,nike,[shoes],USD,2015-04-21T12:12:03.974Z,M,AVpii1Du1cnluZ0-OSO_,Air Jordan Mars 4 Retros Mens Size 9 308497 162 White-varsity Red-black,600,
156200,nike,[shoes],USD,2015-04-20T00:47:04.523Z,M,AVpf-X081cnluZ0-uYkQ,"Nike Mens Air Jordan 5 Retro ""fear"" Leather Basketball-shoes",550,
293657,nike,[shoes],USD,2015-04-19T18:26:01.594Z,M,AVpjGlfHLJeJML43r_l3,"Nike Mens Air Jordan 7 Retro Yotr ""rabbit"" Leather Basketball Shoes",549,
200466,nike,[shoes],USD,2015-04-19T18:00:49.568Z,M,AVphKwJkilAPnD_x2IeK,Air Jordan 5 Retro Ls '' Burgundy ''deep Burgundy-light Graphite-silver 314259-602 Men's Size 12 Us,525,
177126,nike,[shoes],USD,2015-04-19T11:07:19.698Z,IDK,AVph3jfhLJeJML43fukc,Air Jordan 5 Retro Size 11 White Stealth Blue 136027 124,500,
196006,nike,[shoes],USD,2015-04-19T15:46:16.789Z,IDK,AVpgt-moilAPnD_xwboS,Brand New 2013 Nike Air Jordan Retro X 10 Daniel Pena Doernbecher Db,500,
241033,nike,[shoes],USD,2015-10-12T00:00:00Z,M,AVpf-ZglLJeJML43G11p,"Nike Air Jordan 13 Retro ""bred 13s"" Mens Sneaker Size 13.5 [black / Varsity Red / White] 414571-010",500,
243209,nike,[shoes],USD,2015-06-29T05:00:00Z,IDK,AVpggJ4dilAPnD_xtTlY,Nike Air Foamposite One Style# 314996-081 (11.5 M Us,500,
291741,nike,[shoes],USD,2015-04-21T11:30:07.526Z,IDK,AVpiyrdXilAPnD_xHlhj,Air Jordan 5 Retro Size 9 Green Beans Silver-green Bean-flint Grey 136027 031,500,
23354,nike,[shoes],USD,2015-04-21T07:14:31.795Z,M,AVpibPICilAPnD_xEDlx,"Nike Mens Dunk High Pemium Sb ""mf Doom"" Leather Skateboarding",499,
280879,nike,[shoes],USD,2015-04-21T12:09:39.125Z,M,AVpi-CxVLJeJML43quVP,"Nike Mens Air Jordan Future Premium ""3m"" Black/infrared23 Fabric Basketball Shoes Size 14",499,
230119,nike,[shoes],USD,2015-04-21T10:05:45.405Z,M,AVphmWbtilAPnD_x7O03,"Nike Air Foamposite One Prm ""fighter Jet"" Men's Shoes Black/red/dark Grey/white",494.95,
178564,nike,[shoes],USD,2015-04-20T01:14:40.411Z,M,AVphIJlgLJeJML43XGzb,"Nike Mens Air Jordan 4 Retro ""fear Pack"" Suede Basketball Shoes",450,
252889,nike,[shoes],USD,2015-04-20T13:29:15.321Z,IDK,AVphkdU9LJeJML43cayS,Lebron 9 (gs) Miami Vice/south Beach (wlf Gry/mint Candy),450,[4Y]
30469,nike,[shoes],USD,2015-10-12T00:00:00Z,M,AVpfTKU6ilAPnD_xZIEr,"Nike Kobe Ix Elite ""showtime"" Men's Shoes Crt Purple/white-laser Orange-wolf Grey 630847-500",449.99,
202587,nike,[shoes],USD,2015-09-14T00:00:00Z,M,AVphSc8YLJeJML43ZFQO,"Nike Mens Air Jordan 1 Retro Hi Premier ""laser"" Black/varsity Red-white Leather Basketball Shoes Size 9.5",449,
30122,nike,[shoes],USD,2015-04-15T21:30:18.895Z,M,AVpfIOii1cnluZ0-ehEe,Nike Mens Air Foamposite One Synthetic Basketball Shoes,449,
253021,nike,[shoes],USD,2015-04-21T02:50:26.811Z,M,AVphl-FZ1cnluZ0-EPRL,Nike Mens Kobe Ix Elite Sneakers White/gold Size 12,429.99,
21497,nike,[shoes],USD,2015-04-21T11:06:52.765Z,IDK,AVphvV3_1cnluZ0-F3Tf,"Nike Air Jordan 6/vi Retro ""infrared"" 2014 384664-123 Sz11",422.97,
147787,nike,[shoes],USD,2014-11-12T01:55:21.016Z,M,AVpgXVSXilAPnD_xrcus,Nike Lebron Xi Premium Mens,418.88,
276719,nike,[shoes],USD,2015-04-19T03:13:59.527Z,IDK,AVph3fLFilAPnD_x-NkM,Nike Air Foamposite One Metallic Gold/metallic Gold-black 2015--314996-700-7.5,415,
139331,nike,[shoes],USD,2015-10-12T00:00:00Z,M,AVpfqEPTLJeJML43BTK2,"Nike Mens Air Foamposite One ""phoenix"" Synthetic Basketball Shoes",400,
148910,nike,[shoes],USD,2015-04-21T11:40:16.770Z,M,AVpgcvjD1cnluZ0-1mWG,Nike Lebron 9 Mens,400,
153628,nike,[shoes],USD,2015-04-17T17:28:15.845Z,IDK,AVpiM0XYilAPnD_xB1Fr,Air Jordan 5 Retro (gs) Black/ Purple 440888 007 Size 6y,400,
20471,nike,[shoes],USD,2015-10-12T00:00:00Z,IDK,AVpgPUEAilAPnD_xpjPB,Kobe Ix Elite Bhm Black/ White 704304 010 Size 10.5,400,
271077,nike,[shoes],USD,2015-10-12T00:00:00Z,IDK,AVpfJXTn1cnluZ0-e50G,Nike Air Foamposite Yeezy Solar Pro Size 11.5,398.99,
59456,nike,[shoes],USD,2015-04-20T20:02:33.808Z,M,AVpixRoE1cnluZ0-QgbB,Nike Mens Kd Vi Elite 10.5 M Us Photo Blue/atomic Mango/polarized Blue/team Orange,389.99,
150003,nike,"[Shoes, Men, Athletic, Team Sports, Basketball]",USD,2015-10-12T00:00:00Z,M,AVpgmL95ilAPnD_xurOm,"Nike Mens Lebron Xi Premium ""what The Lebron"" Synthetic Basketball Shoes",382,
92725,nike,[shoes],USD,2015-10-12T00:00:00Z,M,AVpgpqc8LJeJML43Q8tN,Nike Air Foamposite One Premium Men's Shoes Black/anthracite 575420-006,380,
220289,nike,[shoes],USD,2015-04-20T20:10:52.684Z,IDK,AVpgs6k61cnluZ0-5PNh,Nike Air Max 97 Sp Ltd Nsw 596530-220 Size 9.5,375.95,
