brand,count,mean,std,min,25%,50%,75%,max
a2 by aerosoles,210.0,50.6870952381,10.6819543595,18.0,49.99,49.99,54.99,89.99
academie gear,29.0,55.7337931034,8.48384743152,21.85,52.99,55.95,59.95,65.95
acorn,115.0,51.9616521739,25.1376192864,17.19,38.45,44.95,52.45,139.95
adidas,495.0,78.3086868687,36.1974182665,9.99,53.99,70.0,99.95,200.0
adtec,25.0,70.7832,14.8425524871,32.49,60.99,70.95,79.95,101.95
aerosoles,554.0,51.7450361011,15.8020021879,13.99,39.99,49.99,59.99,135.99
alegria,80.0,114.66125,28.1628647392,23.95,99.0,119.95,129.95,189.95
alexander wang,82.0,503.192682927,179.993874231,139.0,402.5,495.0,636.25,1150.0
altra footwear,36.0,121.575,22.383148955,77.45,99.95,119.95,139.95,159.95
anne klein,114.0,47.8313157895,26.991459892,16.99,29.98,41.18,56.135,179.0
apex,24.0,132.972916667,6.48824990081,113.0,129.95,129.95,139.95,139.95
aquazzura,158.0,587.791139241,238.617543143,199.0,364.0,675.0,761.25,1695.0
ara,144.0,134.738680556,50.3422010716,41.98,108.45,148.95,178.95,244.95
ariat,56.0,129.955892857,58.0333229909,51.97,89.98,118.45,169.95,280.0
asics,468.0,76.892991453,31.8610467806,6.99,53.4775,69.99,94.95,189.99
azura,82.0,89.0120731707,27.9276514922,19.98,75.95,89.0,99.95,159.99
badgley mischka,56.0,181.900178571,49.2948210996,60.99,134.98,179.945,225.0,285.0
balenciaga,102.0,676.362647059,293.184225964,209.0,518.5,645.0,770.0,1545.0
bamboo,83.0,31.916626506,6.524095354,16.5,27.19,29.59,35.99,59.59
bandolino,110.0,40.1129090909,17.1129713314,14.38,27.98,37.88,47.4825,110.98
barneys new york,194.0,260.860824742,118.930232569,59.0,179.0,250.0,299.0,795.0
bcbgeneration,100.0,62.6557,26.1219937231,16.98,39.9875,59.44,79.92,150.71
beacon shoes,58.0,41.0853448276,8.89416390862,23.96,35.96,43.16,46.39,59.96
bearpaw,196.0,56.3353061224,38.9302015039,16.99,38.37,46.99,61.32,439.99
bed stu,36.0,198.939722222,75.5024009641,52.5,142.9475,219.23,263.7,309.95
bella vita,72.0,85.0336111111,36.1462118603,28.5,67.3425,81.21,94.95,249.95
bellini,66.0,47.2328787879,18.5854354693,14.99,36.96,48.76,59.96,84.95
beston,126.0,30.7655555556,7.32536203125,15.59,25.59,29.665,34.365,56.99
betani,56.0,26.9953571429,5.08868333186,17.59,23.94,25.99,30.39,38.99
betseyville,56.0,34.0828571429,9.96590673962,16.48,27.99,34.99,39.99,69.99
birkenstock,147.0,100.836734694,57.9231177873,23.98,59.95,89.99,134.95,325.0
blackstone,14.0,192.164285714,38.5590028826,97.95,180.45,187.95,197.95,277.95
bloch,141.0,37.1195744681,19.6572575064,10.77,23.95,33.92,39.93,143.99
bogs,118.0,67.4527966102,26.9883908213,32.9,49.95,59.975,80.0,190.0
bongo,116.0,23.2598275862,10.6591313769,11.89,13.99,20.99,29.99,69.99
born,103.0,94.0005825243,34.7958167371,24.99,72.97,89.97,107.0,219.95
brooks,60.0,97.4105,27.1052472514,48.96,79.95,89.95,112.4375,169.9
burberry,76.0,263.196973684,234.099787208,79.95,138.1575,182.125,295.0,1395.0
c label,75.0,32.4674666667,8.42994102338,12.99,28.79,31.99,36.99,57.99
c9 champion,77.0,21.3333766234,7.57164787918,5.24,15.99,20.24,26.99,34.99
calvin klein,171.0,92.0783625731,35.908477169,16.99,69.6,97.3,108.95,189.95
cape robbin,71.0,32.59,13.0263041574,9.88,22.515,33.59,41.99,57.99
capezio,70.0,24.9434285714,13.029884701,3.99,16.23,20.33,29.3275,74.78
carlos by carlos santana,91.0,67.7859340659,25.301418185,7.99,55.16,63.16,79.16,159.16
carolina,6.0,106.783333333,31.8145668942,45.95,109.95,112.45,118.7,139.95
cat jack153,262.0,19.1123664122,5.25504440482,3.99,16.99,18.99,21.99,34.99
caterpillar,20.0,78.7005,24.3194398038,49.2,59.99,75.49,81.99,154.99
celeste,56.0,32.915,8.6645006151,21.24,27.14,30.805,35.04,59.49
champion,62.0,23.7767741935,8.91835697104,9.29,14.99,24.99,29.99,36.99
charles by charles david,109.0,63.5683486239,35.1086403978,16.98,36.98,55.99,76.45,200.0
cherokee,206.0,18.8465048544,6.81051256389,5.08,14.44,19.99,23.5925,39.99
chinese laundry,51.0,56.2245098039,24.0716240677,24.0,40.49,49.99,69.97,139.95
chlo��,127.0,642.551181102,364.54319553,189.0,384.0,495.0,867.5,1790.0
christian louboutin,373.0,968.139142091,378.877296786,595.0,745.0,875.0,1095.0,3995.0
clarks,541.0,79.8944362292,32.4247525578,19.95,56.9,72.95,95.42,249.95
cliffs by white mountain,72.0,39.4359722222,6.6964940711,26.99,34.36,38.95,43.96,56.95
coach,130.0,146.698538462,73.2250887567,24.99,94.87,129.745,190.75,367.5
cobb hill,62.0,96.2714516129,37.1021956774,36.57,69.95,99.95,107.45,229.95
cole haan,205.0,126.098926829,74.6300147579,31.98,58.98,117.6,168.0,448.0
columbia,69.0,60.8957971014,26.9504637309,15.99,42.0,55.0,79.99,120.0
converse,363.0,45.8644077135,17.8790482915,15.5,32.96,40.0,54.99,99.99
corso como,53.0,102.371698113,42.4269157011,31.97,74.95,98.0,137.95,198.36
crocs,149.0,34.1118120805,13.4066302704,11.99,24.99,31.99,39.99,99.99
danner,6.0,150.751666667,113.420073253,16.0,54.2025,162.23,232.45,290.0
dansko,300.0,119.076833333,30.2994827208,24.95,103.95,119.975,135.95,279.95
david tate,110.0,99.8217272727,32.7657174795,15.98,83.96,91.96,115.45,183.96
dc shoes,36.0,33.7038888889,14.4908332163,15.28,24.28,28.98,37.2225,79.98
dearfoams,131.0,27.3703816794,7.42473697069,3.99,22.025,27.95,31.955,41.95
deer stags,10.0,41.579,6.78196702046,29.95,39.24,42.495,44.99,49.95
demonia,118.0,77.3016101695,22.685155166,34.95,62.95,72.95,89.95,199.95
diadora,15.0,52.9386666667,29.6217325785,18.74,33.195,44.7,60.14,135.0
diane von furstenberg,109.0,161.509816514,85.6264214695,36.85,99.5,135.0,209.98,450.0
diba true,58.0,102.158965517,46.5277061277,28.98,63.16,111.16,133.16,208.95
dickies,3.0,51.6566666667,2.88675134595,49.99,49.99,49.99,52.49,54.99
displayads',75.0,22.7608,5.91118860321,7.9,18.9,18.9,29.9,29.9
dolce & gabbana,77.0,576.222467532,376.06073818,165.54,339.0,471.99,651.49,1995.0
dolce vita,84.0,114.451190476,65.6823003502,20.97,60.7325,107.96,148.99,299.95
donald j-pliner,56.0,177.982142857,35.3609445942,86.8,148.875,182.8,198.0,228.0
dr martens,45.0,101.952222222,41.4632114535,10.0,70.0,100.0,135.0,170.0
dr. martens,86.0,90.6590697674,33.7856078175,23.96,65.96,81.465,117.74,179.95
drew,73.0,140.030821918,33.6794837712,49.99,129.95,146.45,159.95,189.95
dromedaris,62.0,173.191935484,38.2843911539,98.95,159.95,189.95,199.95,248.95
durango,94.0,133.859680851,47.9053907096,49.99,89.98,139.99,168.74,229.99
durango boot,29.0,122.434137931,40.8951989426,49.99,87.95,139.99,151.95,179.99
dyeables,144.0,44.1647916667,18.9439199231,4.99,24.805,47.55,59.825,91.96
earth,58.0,82.6929310345,27.7591656435,33.06,58.95,89.495,99.9975,159.95
eastland,94.0,68.7369148936,23.9216606315,11.99,57.24,70.0,80.0,174.95
easy spirit,196.0,43.2899489796,18.6140742587,12.99,28.7075,39.485,53.98,138.99
easy street,117.0,44.7297435897,18.7147392799,5.99,27.18,49.99,54.99,89.99
ecco,213.0,123.884553991,40.7144660492,47.98,95.96,119.99,150.0,240.0
eileen fisher,55.0,166.554727273,60.4170345385,32.5,134.99,157.5,195.0,325.0
ellie,68.0,49.9825,15.6700988553,22.36,40.16,50.27,56.19,98.39
fabulicious,78.0,46.0567948718,18.2406023834,18.09,35.96,41.56,51.9575,103.95
fahrenheit,98.0,34.8940816327,10.0643261831,18.89,27.5225,33.315,39.89,72.99
fendi,92.0,654.879782609,289.85100589,169.0,434.0,650.0,812.5,1650.0
fergalicious,71.0,44.5670422535,12.1035506472,16.99,39.96,43.96,47.96,80.99
ferro aldo,2.0,44.79,15.8391918986,33.59,39.19,44.79,50.39,55.99
fila,178.0,38.2114606742,12.597071003,19.98,29.96,34.99,44.08,84.95
fitflop,66.0,99.5760606061,48.1409393945,29.9,66.115,87.975,124.95,275.0
flexus by spring step,74.0,79.2456756757,32.4079463062,17.99,59.95,74.95,99.95,169.95
florsheim,1.0,29.99,,29.99,29.99,29.99,29.99,29.99
footjoy,34.0,86.7358823529,31.5074474234,38.95,62.365,85.24,97.99,178.99
franco sarto,197.0,68.2416243655,34.7495751758,16.99,41.65,65.96,89.0,198.95
frye,271.0,267.80295203,116.839926256,9.0,172.77,277.95,348.0,690.0
funtasma,41.0,38.9170731707,13.0267653782,15.8,28.76,37.95,52.76,65.95
gabor,62.0,157.6,53.5660208543,41.98,154.95,164.95,188.95,324.95
georgia boot,3.0,134.99,27.8388218142,104.99,122.49,139.99,149.99,159.99
geox,85.0,112.586941176,78.1516192445,45.5,58.25,66.16,149.95,349.95
gianni bini,71.0,68.9673239437,21.5888229652,27.99,56.395,69.99,79.99,118.0
gianvito rossi,392.0,828.469387755,528.49158419,239.0,469.0,730.0,1065.0,6595.0
giuseppe zanotti,253.0,737.140158103,392.519162258,199.0,469.0,665.0,860.0,2125.0
givenchy,127.0,824.503700787,472.299204152,119.0,429.0,750.0,1087.0,2195.0
gold toe,12.0,17.5125,7.47885640869,8.44,12.935,16.45,19.45,34.95
golden goose,55.0,464.327272727,194.179284716,199.0,279.0,489.0,582.5,1315.0
gotta flurt,52.0,38.7255769231,9.74853441242,19.99,32.74,36.49,44.99,64.99
grasshoppers,97.0,36.4606185567,10.2085083809,12.6,30.76,38.36,44.95,54.99
gravity defyer,56.0,108.665714286,27.4508646565,67.99,84.74,106.49,129.95,160.0
gucci,154.0,581.07461039,345.836698609,9.94,361.25,495.0,695.0,2300.0
guess,73.0,78.6752054795,38.3833210345,12.99,41.98,79.0,110.0,168.95
hadari,222.0,37.9198648649,6.97537695699,21.59,32.79,37.59,42.99,59.99
haflinger,37.0,96.8983783784,25.1760160904,29.45,78.95,84.95,124.95,144.95
hanes,100.0,14.9853,2.9230921275,4.99,14.155,14.88,16.72,19.73
havaianas,54.0,24.0790740741,11.4820531443,9.99,14.305,22.29,29.4925,70.0
helle comfort,55.0,174.333272727,24.9231422321,60.97,168.95,176.95,188.45,208.95
hi-tec,31.0,57.2067741935,18.3846773858,22.52,45.32,60.0,67.5,100.0
hunter,64.0,121.98390625,69.2072373181,7.0,68.75,122.4,160.0,345.0
hush puppies,78.0,51.4196153846,26.8771412771,9.11,26.23,48.18,78.95,110.49
infinity,203.0,24.6249753695,5.53045648076,14.29,21.99,23.99,29.99,64.99
isabel marant ��toile,61.0,488.131147541,221.982392351,155.0,269.0,539.0,680.0,895.0
itasca,29.0,50.37,29.7503258085,29.98,29.99,41.99,59.99,179.99
ivanka trump,82.0,92.4340243902,46.7289053711,27.98,55.95,80.93,117.915,239.0
j. renee,123.0,74.8648780488,32.745556434,15.28,49.95,85.45,97.425,189.95
jack rogers,63.0,119.392857143,43.665943156,28.9,84.335,128.0,148.0,208.9
jambu,62.0,76.2514516129,33.7695822897,25.98,54.23,72.96,98.95,198.95
jeffrey campbell,75.0,188.0648,66.8597424294,54.95,144.95,174.95,234.95,360.0
jessica simpson,209.0,69.8669856459,32.8482430599,8.99,47.37,65.96,89.0,228.95
jimmy choo,143.0,771.256573427,345.252645575,139.97,595.0,695.0,895.0,2495.0
jordan,65.0,92.3684615385,42.7906007944,26.0,65.05,79.95,116.98,251.05
josef seibel,53.0,115.78,35.6483876537,42.28,90.98,124.95,139.95,194.95
joules,97.0,58.3409278351,24.2172948738,19.99,39.99,60.0,74.99,164.95
journee collection,711.0,44.2454571027,18.2511269429,7.09,32.99,41.22,53.04,251.09
jumping jacks,76.0,39.4117105263,12.2843676693,15.28,28.17,40.95,46.95,64.95
justin boots,42.0,134.457857143,53.2444361246,47.95,99.95,121.695,177.46,290.0
k-swiss,82.0,55.2643902439,27.8441762024,13.05,34.5,50.96,68.7125,147.17
kamik,92.0,45.4916304348,23.2295676627,14.99,28.9875,39.99,54.96,134.95
kate spade new york,73.0,241.247123288,95.4168125978,46.8,163.98,244.98,328.0,398.0
keds,169.0,36.2576923077,12.9883623276,6.99,27.98,34.99,44.99,89.95
keen,154.0,59.6225324675,33.0496564914,17.96,39.95,49.95,71.47,200.0
kenneth cole new york,106.0,130.73,41.6014163907,37.95,119.95,129.95,149.95,249.95
kenneth cole reaction,164.0,37.6898780488,19.3032150597,10.99,24.99,32.98,43.48,111.49
kenneth cole-reaction,58.0,51.0374137931,21.7001536546,19.5,38.0,45.0,69.0,120.0
kensie girl,69.0,38.1727536232,12.7323941748,13.98,29.96,38.99,46.99,62.95
l'amour,74.0,44.8954054054,5.12626574792,26.99,41.99,43.99,47.99,56.99
l'artiste by spring step,110.0,109.786454545,25.9066439562,59.99,89.95,109.95,119.95,177.95
lacoste,19.0,78.35,51.8670637303,24.98,38.985,54.95,118.995,172.9
lacrosse,1.0,90.0,,90.0,90.0,90.0,90.0,90.0
lamo,108.0,37.862962963,17.9609088118,15.98,23.99,31.975,45.7775,97.99
lanvin,88.0,579.522727273,326.012339421,199.0,314.0,509.0,695.0,1590.0
laura ashley,49.0,26.9202040816,9.53588212355,5.99,19.99,25.99,30.99,46.99
lauren ralph lauren,60.0,54.7093333333,23.4355377591,16.99,37.5825,50.99,69.9825,117.99
lauren ralph-lauren,67.0,72.3491044776,27.9218461626,35.2,55.3,69.0,79.0,165.0
leisureland,37.0,19.3332432432,3.39873673759,8.69,18.49,19.99,21.99,22.99
levi's,3.0,37.3233333333,6.80685928555,31.99,33.49,34.99,39.99,44.99
lifestride,109.0,55.6679816514,21.327614849,7.99,47.99,59.99,59.99,99.99
liliana,62.0,33.3753225806,7.93145816245,16.98,28.79,31.99,38.64,51.99
lucky brand,171.0,64.6329824561,36.7600408035,15.99,39.055,50.95,83.37,228.95
lugz,64.0,53.84875,13.8241926771,27.96,39.96,51.96,67.99,79.0
luichiny,71.0,38.6785915493,26.3778071923,9.88,23.97,31.96,44.5,104.95
mad love,125.0,20.48576,6.80176355974,5.24,17.99,19.99,22.99,47.99
madeline,95.0,43.9163157895,12.996636394,20.0,32.95,43.95,52.95,79.0
maison margiela,75.0,761.493333333,317.432494349,209.0,519.5,739.0,952.5,1970.0
manolo blahnik,426.0,628.877840376,293.275862923,239.0,349.0,595.0,765.0,1695.0
mark and maddux,96.0,36.7067708333,9.76135964373,19.03,27.6125,36.49,45.99,55.24
marni,51.0,619.68627451,358.474015248,179.0,319.0,610.0,805.0,2190.0
mars��ll,131.0,601.916030534,261.6200721,249.0,369.0,589.0,792.5,1290.0
matisse,96.0,75.52375,42.030932325,13.97,45.865,64.225,90.2075,214.99
memoi,178.0,20.8762921348,6.50844490647,7.49,14.99,19.99,26.99,36.99
menbur,70.0,159.020714286,43.2914938702,83.9,129.95,151.45,188.95,271.95
mephisto,40.0,240.0025,78.5484709982,105.01,192.5,225.0,294.9625,440.0
merona,92.0,25.1064130435,15.8773006523,6.98,14.73,22.99,29.99,99.99
merona153,106.0,27.8353773585,8.8655403697,12.48,22.99,27.99,29.99,89.99
merrell,192.0,62.6975520833,33.3807100102,14.99,39.95,55.485,77.975,199.95
mia,99.0,55.0591919192,28.102399116,11.68,31.49,44.99,78.95,138.95
michael michael kors,350.0,77.1013714286,47.0956327355,18.85,45.99,65.98,98.95,324.95
minnetonka,121.0,43.2739669421,18.4701184114,13.95,29.95,39.95,55.95,110.38
miu miu,129.0,586.263023256,284.417391339,112.99,339.0,570.0,790.0,1490.0
mizuno,45.0,70.8255555556,24.9147373835,21.98,54.98,67.98,79.98,119.99
mossimo supply co,315.0,23.3665079365,10.159318768,5.98,16.99,22.99,29.99,79.99
mossimo supply co.,147.0,24.8873469388,10.1273598181,3.99,16.99,22.99,29.99,79.99
muk luks,930.0,40.1119784946,22.0457874674,10.19,23.69,32.99,49.365,149.99
munro,80.0,166.597375,53.5546520511,45.99,127.415,179.95,209.95,264.95
naot,46.0,138.51673913,41.6830003748,36.98,117.465,144.475,154.7,299.0
naturalizer,312.0,73.7533333333,33.3074009781,16.99,55.1875,69.99,88.95,228.95
nature breeze,142.0,32.6673239437,5.94895770303,21.9,28.115,31.99,35.99,59.49
new balance,408.0,61.5102941176,25.7006281802,14.02,44.98,58.465,74.96,154.95
nicholas kirkwood,57.0,601.701754386,262.749470906,159.0,425.0,595.0,695.0,1395.0
nike,2439.0,83.1617876179,35.2997825325,8.88,59.49,79.98,102.99,285.0
nina,447.0,51.9264653244,26.7991613472,11.99,33.99,48.5,67.96,195.0
nine west,304.0,59.5468092105,32.9399647426,8.99,33.98,53.195,78.23,189.0
om,89.0,34.4776404494,12.8915037227,18.99,23.99,32.99,42.99,92.49
onitsuka tiger,25.0,60.0448,21.2579557891,24.15,49.95,59.95,71.06,108.0
otbt,175.0,100.8492,31.7456781644,27.98,81.45,95.45,118.95,248.95
palladium,31.0,54.9367741935,22.1214254193,17.45,43.99,54.95,64.95,99.95
pearl izumi,71.0,112.813098592,30.6742824618,34.99,93.87,117.0,126.0,180.0
pikolinos,44.0,165.971363636,57.3233786712,49.98,126.22,169.95,199.96,264.95
pin up,60.0,55.0166666667,7.08989891794,27.95,53.95,55.95,59.95,62.95
pink paradox london,106.0,67.5280188679,20.922802663,23.9,55.96,70.555,83.96,104.95
pleaser,331.0,77.0203323263,37.9449118984,14.87,49.95,72.95,93.95,327.95
polo ralph lauren,28.0,37.9185714286,19.3253373722,13.99,27.72,32.485,43.23,105.35
polo ralph-lauren,3.0,38.3266666667,15.2807078806,24.99,29.99,34.99,44.995,55.0
prada,322.0,599.898012422,264.490775621,142.0,379.0,590.0,750.0,1800.0
primigi,127.0,68.8139370079,19.812348809,13.99,59.0,69.95,79.95,149.95
propet,171.0,58.7719883041,16.26073161,16.29,49.7,59.95,71.45,94.95
puma,208.0,55.3103365385,25.4839664547,15.98,39.96,49.99,64.95,248.96
qupid,122.0,30.4157377049,10.3318911662,10.88,24.96,29.97,35.99,59.19
rachel shoes,108.0,28.7041666667,9.24435742271,11.48,21.99,29.49,37.99,45.99
rag & bone,70.0,384.228571429,158.396509571,119.0,228.5,395.0,495.0,725.0
ralph lauren,313.0,433.432492013,427.498821876,20.99,129.99,325.0,599.0,5000.0
reebok,140.0,58.7318571429,28.345740664,14.97,38.7325,53.8,74.95,170.0
reef,124.0,27.1429032258,13.4762654216,7.05,17.99,23.99,34.0,74.95
refresh,89.0,30.5316853933,6.8779617151,15.99,26.39,29.59,33.99,50.99
rialto,91.0,36.8073626374,10.9297947358,13.98,30.29,34.98,43.45,63.95
rider,53.0,24.8594339623,3.93966145319,18.36,22.95,24.76,26.36,34.0
rieker,70.0,83.337,20.6604482007,59.97,69.975,74.97,86.985,134.95
rieker-antistress,56.0,126.503571429,16.2054083485,101.95,114.95,122.45,134.95,194.95
robert clergerie,91.0,407.164835165,180.826698111,159.0,259.0,395.0,550.0,950.0
rocket dog,85.0,31.0951764706,14.2568598035,14.38,18.98,27.99,37.98,87.99
rockport,52.0,93.9317307692,51.3618603719,28.97,47.9975,80.245,119.9625,250.0
rocky,5.0,121.558,44.4751989315,71.45,101.45,109.95,134.95,189.99
ros hommerson,114.0,84.4203508772,37.5655665136,22.98,49.98,89.45,112.45,203.95
rose petals by walking cradles,73.0,72.4338356164,36.1084755221,22.98,50.36,53.16,95.96,215.96
ryka,79.0,51.2289873418,18.435656755,16.99,34.995,59.99,64.995,85.0
s sport by skechers,88.0,29.4663636364,7.16336596247,9.98,24.99,29.99,34.99,39.99
saint laurent,217.0,771.339585253,324.874529976,199.0,539.0,795.0,895.0,2495.0
salvatore ferragamo,50.0,579.3742,268.024621395,59.91,450.0,550.0,675.0,1550.0
sam edelman,149.0,91.9585234899,42.5818085187,10.98,65.96,89.9,119.95,284.95
sam libby,112.0,25.1948214286,11.0004425777,9.44,12.48,24.99,34.99,56.0
sanita clogs,71.0,90.9094366197,32.2993250654,34.95,65.7,99.95,117.45,139.95
sanuk,118.0,37.3228813559,14.135114311,9.99,29.96,36.0,41.95,89.95
saucony,111.0,51.7375675676,28.7519288275,12.58,27.98,44.95,61.075,141.99
sebago,26.0,56.4423076923,26.0093763566,17.98,27.235,61.475,80.95,95.95
see kai run,146.0,45.9450684932,10.781439303,16.18,39.95,45.47,49.95,79.95
seychelles,52.0,89.1373076923,33.7030965654,23.09,59.96,94.95,99.95,169.95
shoes of prey,65.0,172.906923077,39.1322124711,83.37,138.95,188.95,198.95,248.95
skechers,1743.0,47.5927079748,14.3698267808,14.5,37.16,45.45,56.99,109.95
soda,77.0,26.4755844156,6.60100620191,9.99,22.75,26.24,30.99,39.99
sofft,110.0,91.1062727273,29.4045307892,29.97,68.975,89.0,99.985,169.0
soft style,85.0,51.2970588235,7.42239465651,32.99,47.16,50.11,58.95,59.16
softspots,88.0,75.7264772727,20.44974249,23.6,69.95,79.95,85.0,139.0
softwalk,152.0,100.887236842,37.9161075209,19.99,80.74,99.95,124.95,239.95
sole society,71.0,81.6566197183,22.6174815412,34.98,69.95,79.95,99.95,139.95
sorel,78.0,122.342692308,61.0823780925,22.98,74.9525,128.47,154.65,300.0
spenco,53.0,58.6154716981,13.6906740529,21.0,47.96,57.98,67.99,79.96
sperry,247.0,63.5913360324,25.2910950988,18.99,44.955,59.99,79.96,155.0
sperry top sider,57.0,26.9547368421,13.2412870416,13.98,17.98,21.98,27.98,81.99
spring step,302.0,85.3224172185,32.0614486803,19.99,69.2375,79.95,99.95,199.0
stella mccartney,53.0,706.376415094,326.009771893,135.98,500.0,600.0,1065.0,1140.0
steve madden,353.0,74.8432294618,35.1011047935,8.99,47.96,74.99,99.95,189.95
stevies,67.0,26.5420895522,4.85933638608,13.98,22.535,24.99,29.99,36.99
stride rite,249.0,30.7123694779,10.1978644392,11.98,22.98,30.0,37.5,65.0
stuart weitzman,141.0,205.256028369,210.124542399,19.9,44.9,62.96,365.0,875.0
superga,68.0,61.6927941176,39.2939672877,8.98,33.4775,48.95,75.45,158.95
supra,1.0,39.99,,39.99,39.99,39.99,39.99,39.99
surprize by stride rite,34.0,24.9017647059,4.9931325387,14.99,22.99,24.99,27.99,32.99
tempur-pedic,37.0,58.9213513514,14.1739356179,39.95,41.99,59.95,69.95,79.95
teva,83.0,57.3634939759,31.7427721534,10.78,35.985,49.95,73.47,199.95
the north face,49.0,87.5602040816,52.2618744677,16.77,58.98,75.98,98.96,300.0
timberland,119.0,77.9497478992,54.6064856063,12.99,34.95,59.96,119.975,259.95
tod's,60.0,387.821166667,215.258174617,39.98,219.7375,425.0,565.0,845.0
tommy hilfiger,57.0,43.2312280702,19.9728571236,15.28,29.95,38.95,49.95,125.97
